filename	onset	offset	event_label
0.wav	3.699985330342847	4.429110383141248	Help
0.wav	4.133266262129823	4.498640411789687	crash
0.wav	4.82754722994693	5.714916844459402	crash
0.wav	5.840369048154814	6.67138945631808	scream
0.wav	6.115510647984536	7.513982727707935	Help
1.wav	3.6230719976993173	5.652754038050467	Help
10.wav	7.090914174951507	7.585880161346065	scream
100.wav	5.024264976621761	5.442700350771421	scream
100.wav	5.197114013098609	5.887998366840106	crash
100.wav	6.673500860036901	7.161936234186561	crash
100.wav	7.652855509102309	9.724352107741765	tire
1000.wav	3.402581353255199	4.5367083373821835	crash
10000.wav	5.155884968246306	5.856225104300727	tire
10000.wav	5.894282530173901	6.108772326092268	scream
10001.wav	5.049127569859619	5.462211470086377	tire
10002.wav	4.162551193170973	4.6308051614249415	crash
10002.wav	4.212400670736399	5.18430543264116	crash
10002.wav	5.484076723484567	6.332421394686381	crash
10002.wav	5.5951709518555575	9.415305261538323	Help
10002.wav	7.372522161551874	7.790957535701534	scream
10003.wav	4.987547048726634	7.370915012880131	scream
10003.wav	4.987829940174471	6.7114127066143805	tire
10004.wav	8.558335897426666	9.035229321462946	scream
10005.wav	5.244726629086501	5.633978329766773	scream
10005.wav	7.021744089624566	9.901069614668211	Help
10005.wav	7.917934418192553	8.647778443097337	Help
10006.wav	2.412661242843358	3.6170149843399564	crash
10006.wav	3.629059969109311	4.555700455219099	tire
10006.wav	3.636413146871476	5.496996773487707	Help
10006.wav	5.679716385850485	6.380056521904907	tire
10006.wav	7.524534770962582	9.222382234791175	Help
10007.wav	4.799665039363641	5.3874654928783805	scream
10008.wav	8.15441520608876	8.792986634660188	tire
10009.wav	2.8791206238356124	3.616376859663277	tire
10009.wav	4.881687031370017	5.469487484884756	scream
10009.wav	5.97511551289476	7.109242497021745	crash
1001.wav	5.258734571559478	5.929190668178897	Help
10010.wav	6.173921127515259	9.015394081776282	crash
10010.wav	7.41291734575635	8.598015239521972	Help
10011.wav	4.082296507975512	7.8902783673859425	Help
10011.wav	6.7043745242546	6.918864320172967	scream
10011.wav	6.882292906226109	7.7696625207385805	crash
10011.wav	9.499251700680272	10.0	scream
10012.wav	2.040351705052526	2.6789231336239547	tire
10012.wav	4.050279186279444	4.757444719159262	tire
10012.wav	4.351011923013037	4.565501718931404	scream
10012.wav	6.448670165410216	8.380979086409978	Help
10013.wav	6.367044504296693	10.0	Help
10014.wav	1.3145206206024578	1.687899305409714	scream
10014.wav	2.9704442886212163	6.402629372328481	Help
10014.wav	4.4889113952322734	8.484589266821356	Help
10014.wav	8.002848676731878	8.740104912559541	tire
10015.wav	8.967379890540084	9.380463790766841	crash
10016.wav	4.408067596758081	5.172668635825936	Help
10016.wav	4.427857834906973	8.056052764205438	Help
